บาร์โค้ด,สินค้า GO,หน่วย,สั่งกี่ครั้ง,ราคาต่อหน่วย,ยอดรวม
2000100078976,"คะน้า แพ็ค 300 ก.",PACK,2,25,54
8851717021084,"ดัชชี่ โพรไบโอติก โยเกิร์ต รสออริจินัล 125 ก. x 4",PACK,1,53,53
2000100075067,"หอมแดง ตัดจุก แพ็ค 1 กก.",PACK,1,49,49
2000100075524,"ผักชีฝรั่ง ออร์แกนิค แพ็ค 150 ก.",PACK,1,49,49
2000100144565,"สาลี่น้ำผึ้ง 1 กก.",Kilogram,1,49,49
2000100314180,"มันหวาน ซิลค์สวีท แพ็ค 500 ก.",PACK,1,45,45
2000100079058,"ผักกวางตุ้ง แพ็ค 300 ก.",PACK,2,19,44
8853026003942,"เอ ชอยซ์ น้ำส้มสายชูหมักข้าว 1 ล.",Piece,1,43,43
8858878502056,"ช้อนทอง เต้าหู้ไข่ไก่ 120 ก. x 5",Piece,1,40,40
2000100154861,"พริกชี้ฟ้า แห้ง เด็ดก้าน 100 ก.",Piece,1,38,38
2000100154854,"พริกชี้ฟ้า แห้ง 100 ก.",Piece,1,35,35
2000100075364,"ขึ้นฉ่าย ออร์แกนิค แพ็ค 150 ก.",PACK,1,35,35
2000100073636,"กล้วยหอม 1 แพ็ค",PACK,1,32,32
2000100154878,"พริกจินดา แห้ง 100 ก.",Piece,1,32,32
2000100079911,"ใบมะกรูดเด็ดก้าน แพ็ค 50 ก.",Piece,2,15,30
2000100077702,"พาร์สลีย์ แพ็ค 200 ก.",PACK,1,29,29
2000100080887,"พริกเหลือง แพ็ค 100 ก.",PACK,1,29,29
2000100051719,"กระดูกข้อขาหมู 1 กก.",Kilogram,1,24,24
2000100079744,"ใบโหระพาและใบกะเพรา แพ็ค 150 ก.",PACK,1,22,22
2000100288290,"ปวยเล้งนอก 200 ก.",Piece,1,20,20
